classCode,coverage,construction,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
0843,Contents,"Mas Non-Comb",0.0830,0.083,0.083,0.083,0.083,0.083
2350,Building,"Fire Res",0.1510,0.151,0.151,0.151,0.151,0.151
0940,ABC,Non-Comb.,0.0000,0,0,0,0,0
0321,ABC,"Fire Res",0.1900,0.19,0.19,0.19,0.19,0.19
0312,Building,"Mas Non-Comb",0.0660,0.066,0.066,0.066,0.066,0.066
0744,ABC,"Fire Res",0.0000,0,0,0,0,0
0744,Building,Frame,0.2180,0.218,0.218,0.218,0.218,0.218
0561,Building,"Joisted Masonry",0.1050,0.105,0.105,0.105,0.105,0.105
0843,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0566,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0311,Building,"Fire Res",0.0600,0.06,0.06,0.06,0.06,0.06
0580,ABC,Non-Comb.,0.0000,0,0,0,0,0
0581,Contents,"Mas Non-Comb",0.1400,0.14,0.14,0.14,0.14,0.14
0932,Contents,"Fire Res",0.0900,0.09,0.09,0.09,0.09,0.09
0940,ABC,"Fire Res",0.0000,0,0,0,0,0
0322,Building,Frame,0.1550,0.155,0.155,0.155,0.155,0.155
1070,Building,"Fire Res",0.0910,0.091,0.091,0.091,0.091,0.091
1751,Building,Non-Comb.,0.0830,0.083,0.083,0.083,0.083,0.083
0757,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0079,ABC,Non-Comb.,0.0000,0,0,0,0,0
0851,Contents,"Mas Non-Comb",0.0440,0.044,0.044,0.044,0.044,0.044
0511,Contents,"Joisted Masonry",0.1590,0.159,0.159,0.159,0.159,0.159
0532,ABC,Non-Comb.,0.0000,0,0,0,0,0
0742,ABC,Non-Comb.,0.0000,0,0,0,0,0
